Bifidobacterium vaginale group,Lactobacillus crispatus group,Lactobacillus gasseri group,Lactobacillus iners group,Lactobacillus jensenii group,"Bifidobacterium breve group,Prevotella bivia group,Prevotella timonensis group","Megasphaera,Prevotella bivia group,Prevotella timonensis group,Sneathia",Clostridium,"Streptococcus,Veillonella",sample_id
2.147130705520537e-6,0.3773958963145403,2.147130584856702e-6,2.1471306148861337e-6,2.1471306816007746e-6,0.48437877679186486,0.1308954337786345,0.00627450931633333,0.0010467952760402082,s1189
0.5773619228233229,6.2439276773257e-4,2.302836185329904e-6,0.09074121442181839,2.302836004765975e-6,0.06953216329535628,0.2610804738133953,2.302836132755825e-6,6.529243700518563e-4,s119
8.095495669603975e-6,8.095494275772798e-6,0.5687978028727434,8.095494290510906e-6,8.095494950771436e-6,0.005732068294427805,0.16525333219058122,0.26017631914779077,8.095515270218338e-6,s12
7.130036815265393e-4,0.9583259615563966,0.014560806854890125,8.315111626947812e-4,3.1112500535375044e-6,0.01606742896696478,0.009491954025926685,3.1112502694318548e-6,3.1112512774610014e-6,s120
0.03196979652746616,8.247334113461566e-4,2.969784193580618e-6,0.966532287579707,2.9697837904707667e-6,2.969784332621417e-6,6.583335597975176e-4,2.9697838334699458e-6,2.9697855330782034e-6,s121
0.00424980051753631,0.9741239127859954,5.819213283092357e-6,5.819211417101901e-6,0.01343671399180439,0.006165795996660638,5.819226030080191e-6,5.81921255664458e-6,0.0020004998447163192,s122
3.503682907594518e-6,0.9297739264710067,0.0032324134188220074,0.0027743269843834026,3.5036782153492985e-6,0.0019316110733529543,0.003041040353574341,0.059236170647946576,3.5036897911697263e-6,s123
1.5460450220053534e-6,0.0019629149382470092,0.01763859124344398,0.8618388916132291,1.5460424194791444e-6,0.06157768187290529,2.523667976671275e-4,1.54604300622257e-6,0.05672491540405976,s1230
0.01818386658409588,0.4644909925322887,2.3541226584661183e-6,7.714709798673289e-4,0.25359806560063236,0.19551742688875293,0.06683089105519795,2.354122687330871e-6,6.025781138190233e-4,s124
2.8338612889143647e-6,0.8840728958168059,2.8338613745087127e-6,2.447243421071137e-4,2.833861359099589e-6,2.8338623045016385e-6,2.8338621996081975e-6,0.11566537667046171,2.8338620985330095e-6,s125
1.958955474605817e-6,0.9976228910677719,0.0010719486050518685,3.487642834945846e-4,2.334816443127151e-4,7.150785733025823e-4,1.958959495782342e-6,1.958955486315505e-6,1.9589556097850738e-6,s126
3.9781303339052604e-6,0.7632553504068192,0.028847107662979023,0.08213084828403316,0.02144405561185494,3.9781452153509565e-6,0.01107988507264922,0.07841521873780448,0.014819577948310734,s127
1.9286411141089918e-5,1.9286411992283047e-5,1.9286413127922593e-5,0.612624185877527,0.38270817212813835,1.928643798769093e-5,1.928641608419692e-5,1.9286412928015753e-5,0.004551923491073338,s1272
3.0907034681467537e-6,0.9772529479532946,3.0907034907198417e-6,0.0013288980692425152,0.016804818460743498,3.0907038241205987e-6,3.090703480619315e-6,0.004316952089561289,2.840206128943758e-4,s128
2.2225866928675537e-6,0.9799412207927011,2.987720407067779e-4,2.222586684474994e-6,2.222586759912782e-6,0.004136323253365728,2.2225917100806696e-6,2.2225868341933806e-6,0.015612570974544946,s129
1.4263789662871505e-5,0.026865653960083353,1.4263772005785568e-5,0.14752001098336953,1.4263751499945652e-5,0.074916384071924,0.7506266321154379,1.4263753570640274e-5,1.4263802445919947e-5,s13
3.693466847349609e-4,0.0431667027648763,4.483485097393655e-4,0.9500135702647464,6.793826383563704e-4,0.003940608297149819,1.862247692344343e-4,9.298990026171825e-4,2.659170685452152e-4,s130
1.1724573230451103e-6,6.328691148177825e-4,1.1724573283021193e-6,0.9987634091059459,1.1724573403072744e-6,1.1724601997164316e-6,1.1724591100477793e-6,1.1724573506288424e-6,5.9668703058427e-4,s131
